document_name,file_path,clause_or_section,regulatory_topic,clinical_data_requirement,source_eligibility_rule,data_use_rule,clinical_evidence_sufficiency_rule,PMCF_or_gap_rule,BR_GSPR_rule,writer_constraint_candidate,source_quote_or_anchor,evidence_level,confidence,notes
MDCG_2020-8_PMCF_Eval,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_8_guidance_pmcf_evaluation_report_en_0.pdf,first_10_pages_scanned,PMCF_evaluation,yes,requires_owner_verification,requires_owner_verification,maybe,yes,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MDCG_2020-8_PMCF_Eval,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_8_guidance_pmcf_evaluation_report_en_0.pdf,heuristic_anchor,clinical_data_extraction,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,heuristic_anchor,data_use_eligibility,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,heuristic_anchor,safety_AE,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDCG_2020-6,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_guidance_sufficient_clinical_evidence_en_0.pdf,heuristic_anchor,endpoint_definition,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDCG_2020-5,/Users/winstonwei/CER-RAG/Source/EU MDCG/05 MDCG 2020-5 Guidance on Clinical Evaluation - Equivalence.pdf,heuristic_anchor,subgroup_analysis,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
CEAR,/Users/winstonwei/CER-RAG/Source/EU MDCG/CEAR.pdf,heuristic_anchor,denominator_requirement,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDCG_2020-7_PMCF_Plan,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_7_guidance_pmcf_plan_template_en_0.pdf,heuristic_anchor,follow_up_requirement,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDCG_2020-8_PMCF_Eval,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_8_guidance_pmcf_evaluation_report_en_0.pdf,heuristic_anchor,benchmark_requirement,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,heuristic_anchor,claim_support,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,heuristic_anchor,BR_GSPR_alignment,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
MDCG_2020-6,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_guidance_sufficient_clinical_evidence_en_0.pdf,heuristic_anchor,clinical_data_extraction,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,requires_owner_verification,yes,heuristic_placeholder_needs_expert_label,regulatory_clause,medium,heuristic_anchor_for_completeness
